role,profile,profile_label,cell,jamo,glyph_index,offset
initial,1,초성 1벌,0,(무받침),0,0
initial,1,초성 1벌,1,ㄱ,1,32
initial,1,초성 1벌,2,ㄲ,2,64
initial,1,초성 1벌,3,ㄴ,3,96
initial,1,초성 1벌,4,ㄷ,4,128
initial,1,초성 1벌,5,ㄸ,5,160
initial,1,초성 1벌,6,ㄹ,6,192
initial,1,초성 1벌,7,ㅁ,7,224
initial,1,초성 1벌,8,ㅂ,8,256
initial,1,초성 1벌,9,ㅃ,9,288
initial,1,초성 1벌,10,ㅅ,10,320
initial,1,초성 1벌,11,ㅆ,11,352
initial,1,초성 1벌,12,ㅇ,12,384
initial,1,초성 1벌,13,ㅈ,13,416
initial,1,초성 1벌,14,ㅉ,14,448
initial,1,초성 1벌,15,ㅊ,15,480
initial,1,초성 1벌,16,ㅋ,16,512
initial,1,초성 1벌,17,ㅌ,17,544
initial,1,초성 1벌,18,ㅍ,18,576
initial,1,초성 1벌,19,ㅎ,19,608
initial,2,초성 2벌,0,(무받침),20,640
initial,2,초성 2벌,1,ㄱ,21,672
initial,2,초성 2벌,2,ㄲ,22,704
initial,2,초성 2벌,3,ㄴ,23,736
initial,2,초성 2벌,4,ㄷ,24,768
initial,2,초성 2벌,5,ㄸ,25,800
initial,2,초성 2벌,6,ㄹ,26,832
initial,2,초성 2벌,7,ㅁ,27,864
initial,2,초성 2벌,8,ㅂ,28,896
initial,2,초성 2벌,9,ㅃ,29,928
initial,2,초성 2벌,10,ㅅ,30,960
initial,2,초성 2벌,11,ㅆ,31,992
initial,2,초성 2벌,12,ㅇ,32,1024
initial,2,초성 2벌,13,ㅈ,33,1056
initial,2,초성 2벌,14,ㅉ,34,1088
initial,2,초성 2벌,15,ㅊ,35,1120
initial,2,초성 2벌,16,ㅋ,36,1152
initial,2,초성 2벌,17,ㅌ,37,1184
initial,2,초성 2벌,18,ㅍ,38,1216
initial,2,초성 2벌,19,ㅎ,39,1248
initial,3,초성 3벌,0,(무받침),40,1280
initial,3,초성 3벌,1,ㄱ,41,1312
initial,3,초성 3벌,2,ㄲ,42,1344
initial,3,초성 3벌,3,ㄴ,43,1376
initial,3,초성 3벌,4,ㄷ,44,1408
initial,3,초성 3벌,5,ㄸ,45,1440
initial,3,초성 3벌,6,ㄹ,46,1472
initial,3,초성 3벌,7,ㅁ,47,1504
initial,3,초성 3벌,8,ㅂ,48,1536
initial,3,초성 3벌,9,ㅃ,49,1568
initial,3,초성 3벌,10,ㅅ,50,1600
initial,3,초성 3벌,11,ㅆ,51,1632
initial,3,초성 3벌,12,ㅇ,52,1664
initial,3,초성 3벌,13,ㅈ,53,1696
initial,3,초성 3벌,14,ㅉ,54,1728
initial,3,초성 3벌,15,ㅊ,55,1760
initial,3,초성 3벌,16,ㅋ,56,1792
initial,3,초성 3벌,17,ㅌ,57,1824
initial,3,초성 3벌,18,ㅍ,58,1856
initial,3,초성 3벌,19,ㅎ,59,1888
initial,4,초성 4벌,0,(무받침),60,1920
initial,4,초성 4벌,1,ㄱ,61,1952
initial,4,초성 4벌,2,ㄲ,62,1984
initial,4,초성 4벌,3,ㄴ,63,2016
initial,4,초성 4벌,4,ㄷ,64,2048
initial,4,초성 4벌,5,ㄸ,65,2080
initial,4,초성 4벌,6,ㄹ,66,2112
initial,4,초성 4벌,7,ㅁ,67,2144
initial,4,초성 4벌,8,ㅂ,68,2176
initial,4,초성 4벌,9,ㅃ,69,2208
initial,4,초성 4벌,10,ㅅ,70,2240
initial,4,초성 4벌,11,ㅆ,71,2272
initial,4,초성 4벌,12,ㅇ,72,2304
initial,4,초성 4벌,13,ㅈ,73,2336
initial,4,초성 4벌,14,ㅉ,74,2368
initial,4,초성 4벌,15,ㅊ,75,2400
initial,4,초성 4벌,16,ㅋ,76,2432
initial,4,초성 4벌,17,ㅌ,77,2464
initial,4,초성 4벌,18,ㅍ,78,2496
initial,4,초성 4벌,19,ㅎ,79,2528
initial,5,초성 5벌,0,(무받침),80,2560
initial,5,초성 5벌,1,ㄱ,81,2592
initial,5,초성 5벌,2,ㄲ,82,2624
initial,5,초성 5벌,3,ㄴ,83,2656
initial,5,초성 5벌,4,ㄷ,84,2688
initial,5,초성 5벌,5,ㄸ,85,2720
initial,5,초성 5벌,6,ㄹ,86,2752
initial,5,초성 5벌,7,ㅁ,87,2784
initial,5,초성 5벌,8,ㅂ,88,2816
initial,5,초성 5벌,9,ㅃ,89,2848
initial,5,초성 5벌,10,ㅅ,90,2880
initial,5,초성 5벌,11,ㅆ,91,2912
initial,5,초성 5벌,12,ㅇ,92,2944
initial,5,초성 5벌,13,ㅈ,93,2976
initial,5,초성 5벌,14,ㅉ,94,3008
initial,5,초성 5벌,15,ㅊ,95,3040
initial,5,초성 5벌,16,ㅋ,96,3072
initial,5,초성 5벌,17,ㅌ,97,3104
initial,5,초성 5벌,18,ㅍ,98,3136
initial,5,초성 5벌,19,ㅎ,99,3168
initial,6,초성 6벌,0,(무받침),100,3200
initial,6,초성 6벌,1,ㄱ,101,3232
initial,6,초성 6벌,2,ㄲ,102,3264
initial,6,초성 6벌,3,ㄴ,103,3296
initial,6,초성 6벌,4,ㄷ,104,3328
initial,6,초성 6벌,5,ㄸ,105,3360
initial,6,초성 6벌,6,ㄹ,106,3392
initial,6,초성 6벌,7,ㅁ,107,3424
initial,6,초성 6벌,8,ㅂ,108,3456
initial,6,초성 6벌,9,ㅃ,109,3488
initial,6,초성 6벌,10,ㅅ,110,3520
initial,6,초성 6벌,11,ㅆ,111,3552
initial,6,초성 6벌,12,ㅇ,112,3584
initial,6,초성 6벌,13,ㅈ,113,3616
initial,6,초성 6벌,14,ㅉ,114,3648
initial,6,초성 6벌,15,ㅊ,115,3680
initial,6,초성 6벌,16,ㅋ,116,3712
initial,6,초성 6벌,17,ㅌ,117,3744
initial,6,초성 6벌,18,ㅍ,118,3776
initial,6,초성 6벌,19,ㅎ,119,3808
initial,7,초성 7벌,0,(무받침),120,3840
initial,7,초성 7벌,1,ㄱ,121,3872
initial,7,초성 7벌,2,ㄲ,122,3904
initial,7,초성 7벌,3,ㄴ,123,3936
initial,7,초성 7벌,4,ㄷ,124,3968
initial,7,초성 7벌,5,ㄸ,125,4000
initial,7,초성 7벌,6,ㄹ,126,4032
initial,7,초성 7벌,7,ㅁ,127,4064
initial,7,초성 7벌,8,ㅂ,128,4096
initial,7,초성 7벌,9,ㅃ,129,4128
initial,7,초성 7벌,10,ㅅ,130,4160
initial,7,초성 7벌,11,ㅆ,131,4192
initial,7,초성 7벌,12,ㅇ,132,4224
initial,7,초성 7벌,13,ㅈ,133,4256
initial,7,초성 7벌,14,ㅉ,134,4288
initial,7,초성 7벌,15,ㅊ,135,4320
initial,7,초성 7벌,16,ㅋ,136,4352
initial,7,초성 7벌,17,ㅌ,137,4384
initial,7,초성 7벌,18,ㅍ,138,4416
initial,7,초성 7벌,19,ㅎ,139,4448
initial,8,초성 8벌,0,(무받침),140,4480
initial,8,초성 8벌,1,ㄱ,141,4512
initial,8,초성 8벌,2,ㄲ,142,4544
initial,8,초성 8벌,3,ㄴ,143,4576
initial,8,초성 8벌,4,ㄷ,144,4608
initial,8,초성 8벌,5,ㄸ,145,4640
initial,8,초성 8벌,6,ㄹ,146,4672
initial,8,초성 8벌,7,ㅁ,147,4704
initial,8,초성 8벌,8,ㅂ,148,4736
initial,8,초성 8벌,9,ㅃ,149,4768
initial,8,초성 8벌,10,ㅅ,150,4800
initial,8,초성 8벌,11,ㅆ,151,4832
initial,8,초성 8벌,12,ㅇ,152,4864
initial,8,초성 8벌,13,ㅈ,153,4896
initial,8,초성 8벌,14,ㅉ,154,4928
initial,8,초성 8벌,15,ㅊ,155,4960
