"path";"filename";"offset";"size";"type"
"ASM";"asmsub";"0x2800";"0x800";"asm"
"ASM";"asmbasic";"0x3000";"0x1000";"asm"
"ASM";"asminit2";"0x1800";"0x800";"asm"
"ASM";"asmmain";"0x4800";"0x2800";"asm"
"ASM";"vwf";"0x10000";"0x1000";"asm"
"ASM";"patch_copy";"0x3980";"0x380";"asm"
"Data";"composite_ascii";"0x11000";"0x1000";"raw"
"Data";"composite_components_0";"0x12000";"0x2000";"raw"
"Data";"composite_components_1";"0x14000";"0x2000";"raw"
"Data";"composite_components_2";"0x16000";"0x2000";"raw"
"Data";"snddat";"0xF000";"0x400";"raw"
