index,syllable,unicode,codepoint,x,y,status
0,가,U+AC00,44032,0,0,used
1,각,U+AC01,44033,8,0,used
2,간,U+AC04,44036,16,0,used
3,갇,U+AC07,44039,24,0,used
4,갈,U+AC08,44040,32,0,used
5,감,U+AC10,44048,40,0,used
6,갑,U+AC11,44049,48,0,used
7,갔,U+AC14,44052,56,0,used
8,강,U+AC15,44053,64,0,used
9,갖,U+AC16,44054,72,0,used
10,같,U+AC19,44057,80,0,used
11,갚,U+AC1A,44058,88,0,used
12,개,U+AC1C,44060,96,0,used
13,객,U+AC1D,44061,104,0,used
14,거,U+AC70,44144,112,0,used
15,걱,U+AC71,44145,120,0,used
16,건,U+AC74,44148,0,16,used
17,걷,U+AC77,44151,8,16,used
18,걸,U+AC78,44152,16,16,used
19,검,U+AC80,44160,24,16,used
20,겁,U+AC81,44161,32,16,used
21,것,U+AC83,44163,40,16,used
22,겉,U+AC89,44169,48,16,used
23,겋,U+AC8B,44171,56,16,used
24,게,U+AC8C,44172,64,16,used
25,겐,U+AC90,44176,72,16,used
26,겠,U+ACA0,44192,80,16,used
27,겨,U+ACA8,44200,88,16,used
28,격,U+ACA9,44201,96,16,used
29,겪,U+ACAA,44202,104,16,used
30,견,U+ACAC,44204,112,16,used
31,결,U+ACB0,44208,120,16,used
32,겸,U+ACB8,44216,0,32,used
33,겹,U+ACB9,44217,8,32,used
34,겼,U+ACBC,44220,16,32,used
35,경,U+ACBD,44221,24,32,used
36,곁,U+ACC1,44225,32,32,used
37,계,U+ACC4,44228,40,32,used
38,고,U+ACE0,44256,48,32,used
39,곡,U+ACE1,44257,56,32,used
40,곤,U+ACE4,44260,64,32,used
41,곧,U+ACE7,44263,72,32,used
42,골,U+ACE8,44264,80,32,used
43,곯,U+ACEF,44271,88,32,used
44,곱,U+ACF1,44273,96,32,used
45,곳,U+ACF3,44275,104,32,used
46,공,U+ACF5,44277,112,32,used
47,과,U+ACFC,44284,120,32,used
48,곽,U+ACFD,44285,0,48,used
49,관,U+AD00,44288,8,48,used
50,광,U+AD11,44305,16,48,used
51,괜,U+AD1C,44316,24,48,used
52,괭,U+AD2D,44333,32,48,used
53,괴,U+AD34,44340,40,48,used
54,괸,U+AD38,44344,48,48,used
55,굉,U+AD49,44361,56,48,used
56,교,U+AD50,44368,64,48,used
57,구,U+AD6C,44396,72,48,used
58,국,U+AD6D,44397,80,48,used
59,군,U+AD70,44400,88,48,used
60,굳,U+AD73,44403,96,48,used
61,굴,U+AD74,44404,104,48,used
62,굵,U+AD75,44405,112,48,used
63,굶,U+AD76,44406,120,48,used
64,굽,U+AD7D,44413,0,64,used
65,굿,U+AD7F,44415,8,64,used
66,궁,U+AD81,44417,16,64,used
67,권,U+AD8C,44428,24,64,used
68,귀,U+ADC0,44480,32,64,used
69,귓,U+ADD3,44499,40,64,used
70,규,U+ADDC,44508,48,64,used
71,그,U+ADF8,44536,56,64,used
72,극,U+ADF9,44537,64,64,used
73,근,U+ADFC,44540,72,64,used
74,글,U+AE00,44544,80,64,used
75,금,U+AE08,44552,88,64,used
76,급,U+AE09,44553,96,64,used
77,긋,U+AE0B,44555,104,64,used
78,기,U+AE30,44592,112,64,used
79,긴,U+AE34,44596,120,64,used
80,길,U+AE38,44600,0,80,used
81,김,U+AE40,44608,8,80,used
82,깁,U+AE41,44609,16,80,used
83,깃,U+AE43,44611,24,80,used
84,깊,U+AE4A,44618,32,80,used
85,까,U+AE4C,44620,40,80,used
86,깐,U+AE50,44624,48,80,used
87,깔,U+AE54,44628,56,80,used
88,깜,U+AE5C,44636,64,80,used
89,깝,U+AE5D,44637,72,80,used
90,깥,U+AE65,44645,80,80,used
91,깨,U+AE68,44648,88,80,used
92,깰,U+AE70,44656,96,80,used
93,깼,U+AE7C,44668,104,80,used
94,꺄,U+AE84,44676,112,80,used
95,꺼,U+AEBC,44732,120,80,used
96,꺾,U+AEBE,44734,0,96,used
97,껄,U+AEC4,44740,8,96,used
98,껏,U+AECF,44751,16,96,used
99,껑,U+AED1,44753,24,96,used
100,께,U+AED8,44760,32,96,used
101,껴,U+AEF4,44788,40,96,used
102,꼈,U+AF08,44808,48,96,used
103,꼬,U+AF2C,44844,56,96,used
104,꼭,U+AF2D,44845,64,96,used
105,꼴,U+AF34,44852,72,96,used
106,꼼,U+AF3C,44860,80,96,used
107,꽂,U+AF42,44866,88,96,used
108,꽃,U+AF43,44867,96,96,used
109,꽉,U+AF49,44873,104,96,used
110,꽤,U+AF64,44900,112,96,used
111,꾸,U+AFB8,44984,120,96,used
112,꾼,U+AFBC,44988,0,112,used
113,꿀,U+AFC0,44992,8,112,used
114,꿈,U+AFC8,45000,16,112,used
115,꿔,U+AFD4,45012,24,112,used
116,꿨,U+AFE8,45032,32,112,used
117,꿰,U+AFF0,45040,40,112,used
118,뀌,U+B00C,45068,48,112,used
119,뀔,U+B014,45076,56,112,used
120,끄,U+B044,45124,64,112,used
121,끈,U+B048,45128,72,112,used
122,끊,U+B04A,45130,80,112,used
123,끌,U+B04C,45132,88,112,used
124,끓,U+B053,45139,96,112,used
125,끔,U+B054,45140,104,112,used
126,끗,U+B057,45143,112,112,used
127,끙,U+B059,45145,120,112,used
128,끝,U+B05D,45149,0,128,used
129,끼,U+B07C,45180,8,128,used
130,낀,U+B080,45184,16,128,used
131,낄,U+B084,45188,24,128,used
132,낌,U+B08C,45196,32,128,used
133,나,U+B098,45208,40,128,used
134,낙,U+B099,45209,48,128,used
135,난,U+B09C,45212,56,128,used
136,날,U+B0A0,45216,64,128,used
137,낡,U+B0A1,45217,72,128,used
138,남,U+B0A8,45224,80,128,used
139,납,U+B0A9,45225,88,128,used
140,낫,U+B0AB,45227,96,128,used
141,났,U+B0AC,45228,104,128,used
142,낭,U+B0AD,45229,112,128,used
143,낮,U+B0AE,45230,120,128,used
144,낯,U+B0AF,45231,0,144,used
145,낳,U+B0B3,45235,8,144,used
146,내,U+B0B4,45236,16,144,used
147,낸,U+B0B8,45240,24,144,used
148,낼,U+B0BC,45244,32,144,used
149,냄,U+B0C4,45252,40,144,used
150,냅,U+B0C5,45253,48,144,used
151,냈,U+B0C8,45256,56,144,used
152,냉,U+B0C9,45257,64,144,used
153,냐,U+B0D0,45264,72,144,used
154,냥,U+B0E5,45285,80,144,used
155,너,U+B108,45320,88,144,used
156,넋,U+B10B,45323,96,144,used
157,넌,U+B10C,45324,104,144,used
158,널,U+B110,45328,112,144,used
159,넓,U+B113,45331,120,144,used
160,넘,U+B118,45336,0,160,used
161,넜,U+B11C,45340,8,160,used
162,넣,U+B123,45347,16,160,used
163,네,U+B124,45348,24,160,used
164,넨,U+B128,45352,32,160,used
165,넬,U+B12C,45356,40,160,used
166,넵,U+B135,45365,48,160,used
167,넸,U+B138,45368,56,160,used
168,녀,U+B140,45376,64,160,used
169,녁,U+B141,45377,72,160,used
170,년,U+B144,45380,80,160,used
171,념,U+B150,45392,88,160,used
172,녔,U+B154,45396,96,160,used
173,녕,U+B155,45397,104,160,used
174,노,U+B178,45432,112,160,used
175,녹,U+B179,45433,120,160,used
176,논,U+B17C,45436,0,176,used
177,놀,U+B180,45440,8,176,used
178,놈,U+B188,45448,16,176,used
179,농,U+B18D,45453,24,176,used
180,높,U+B192,45458,32,176,used
181,놓,U+B193,45459,40,176,used
182,놔,U+B194,45460,48,176,used
183,놨,U+B1A8,45480,56,176,used
184,뇌,U+B1CC,45516,64,176,used
185,뇨,U+B1E8,45544,72,176,used
186,누,U+B204,45572,80,176,used
187,눈,U+B208,45576,88,176,used
188,눌,U+B20C,45580,96,176,used
189,눕,U+B215,45589,104,176,used
190,눠,U+B220,45600,112,176,used
191,눴,U+B234,45620,120,176,used
192,뉘,U+B258,45656,0,192,used
193,뉜,U+B25C,45660,8,192,used
194,뉴,U+B274,45684,16,192,used
195,느,U+B290,45712,24,192,used
196,는,U+B294,45716,32,192,used
197,늘,U+B298,45720,40,192,used
198,늙,U+B299,45721,48,192,used
