"token_index";"character";"unicode";"token_word";"token_hi";"token_lo";"initial_index";"medial_index";"final_index";"composition_payload"
"0";"가";"U+AC00";"0x8040";"0x80";"0x40";"0";"0";"0";"0x0000"
"1";"각";"U+AC01";"0x8041";"0x80";"0x41";"0";"0";"1";"0x0001"
"2";"간";"U+AC04";"0x8044";"0x80";"0x44";"0";"0";"4";"0x0004"
"3";"갇";"U+AC07";"0x8047";"0x80";"0x47";"0";"0";"7";"0x0007"
"4";"갈";"U+AC08";"0x8048";"0x80";"0x48";"0";"0";"8";"0x0008"
"5";"감";"U+AC10";"0x8050";"0x80";"0x50";"0";"0";"16";"0x0010"
"6";"갑";"U+AC11";"0x8051";"0x80";"0x51";"0";"0";"17";"0x0011"
"7";"갔";"U+AC14";"0x8054";"0x80";"0x54";"0";"0";"20";"0x0014"
"8";"강";"U+AC15";"0x8055";"0x80";"0x55";"0";"0";"21";"0x0015"
"9";"갖";"U+AC16";"0x8056";"0x80";"0x56";"0";"0";"22";"0x0016"
"10";"같";"U+AC19";"0x8059";"0x80";"0x59";"0";"0";"25";"0x0019"
"11";"갚";"U+AC1A";"0x805A";"0x80";"0x5A";"0";"0";"26";"0x001A"
"12";"개";"U+AC1C";"0x805D";"0x80";"0x5D";"0";"1";"0";"0x0020"
"13";"객";"U+AC1D";"0x805E";"0x80";"0x5E";"0";"1";"1";"0x0021"
"14";"거";"U+AC70";"0x80BF";"0x80";"0xBF";"0";"4";"0";"0x0080"
"15";"걱";"U+AC71";"0x80C0";"0x80";"0xC0";"0";"4";"1";"0x0081"
"16";"건";"U+AC74";"0x80C3";"0x80";"0xC3";"0";"4";"4";"0x0084"
"17";"걷";"U+AC77";"0x80C6";"0x80";"0xC6";"0";"4";"7";"0x0087"
"18";"걸";"U+AC78";"0x80C7";"0x80";"0xC7";"0";"4";"8";"0x0088"
"19";"검";"U+AC80";"0x80CF";"0x80";"0xCF";"0";"4";"16";"0x0090"
"20";"겁";"U+AC81";"0x80D0";"0x80";"0xD0";"0";"4";"17";"0x0091"
"21";"것";"U+AC83";"0x80D2";"0x80";"0xD2";"0";"4";"19";"0x0093"
"22";"겉";"U+AC89";"0x80D8";"0x80";"0xD8";"0";"4";"25";"0x0099"
"23";"겋";"U+AC8B";"0x80DA";"0x80";"0xDA";"0";"4";"27";"0x009B"
"24";"게";"U+AC8C";"0x80DB";"0x80";"0xDB";"0";"5";"0";"0x00A0"
"25";"겐";"U+AC90";"0x80E6";"0x80";"0xE6";"0";"5";"4";"0x00A4"
"26";"겠";"U+ACA0";"0x80F8";"0x80";"0xF8";"0";"5";"20";"0x00B4"
"27";"겨";"U+ACA8";"0x8143";"0x81";"0x43";"0";"6";"0";"0x00C0"
"28";"격";"U+ACA9";"0x8144";"0x81";"0x44";"0";"6";"1";"0x00C1"
"29";"겪";"U+ACAA";"0x8145";"0x81";"0x45";"0";"6";"2";"0x00C2"
"30";"견";"U+ACAC";"0x8147";"0x81";"0x47";"0";"6";"4";"0x00C4"
"31";"결";"U+ACB0";"0x814B";"0x81";"0x4B";"0";"6";"8";"0x00C8"
