"original_disk_num";"patch_disk_num";"i_disks_script_disk";"script_num";"original_basic_line";"patch_basic_line";"original_string_num";"patch_string_num";"japanese_text";"patch_source_text";"english_text";"disk_mapping_status";"match_status";"match_method";"match_reason";"linked_original_key";"linked_patch_key"
"intro";"intro";"intro";"intro";"205";"205";"0";"0";"Ｖ２モ−ドに変更して下さい。";"Ｖ２モ－ドに変更して下さい。";"Please change to V2 Mode.";"same_disk";"matched_translated";"source_sequence_alignment";"normalized_source_same_coordinates";"intro/intro/205/0";"intro/intro/205/0"
"intro";"intro";"intro";"intro";"210";"210";"1";"1";"スピ−ドを８Ｍｚに変更して下さい。";"スピ－ドを８Ｍｚに変更して下さい。";"Please change speed to 8Mz.";"same_disk";"matched_translated";"source_sequence_alignment";"normalized_source_same_coordinates";"intro/intro/210/1";"intro/intro/210/1"
"menu";"menu";"menu";"menu";"1190";"1190";"0";"0";"ＭＩＲＲＯＲＳ　ＭＥＮＵ";"ＭＩＲＲＯＲＳ　ＭＥＮＵ";"MIRRORS MENU";"same_disk";"matched_translated";"source_sequence_alignment";"exact_source_and_coordinates";"menu/menu/1190/0";"menu/menu/1190/0"
"menu";"menu";"menu";"menu";"1200";"1200";"1";"1";"ゲームを最初から始める。";"ゲームを最初から始める。";"Start from the beginning.";"same_disk";"matched_translated";"source_sequence_alignment";"exact_source_and_coordinates";"menu/menu/1200/1";"menu/menu/1200/1"
"menu";"menu";"menu";"menu";"1210";"1210";"2";"2";"ゲームを途中から始める。";"ゲームを途中から始める。";"Continue";"same_disk";"matched_translated";"source_sequence_alignment";"exact_source_and_coordinates";"menu/menu/1210/2";"menu/menu/1210/2"
"menu";"menu";"menu";"menu";"1214";"1214";"3";"3";"場面保存・ディスクを作る。";"場面保存・ディスクを作る。";"Create Storage Disk.";"same_disk";"matched_translated";"source_sequence_alignment";"exact_source_and_coordinates";"menu/menu/1214/3";"menu/menu/1214/3"
"menu";"menu";"menu";"menu";"1215";"1215";"4";"4";"システムを設定する。";"システムを設定する。";"System settings";"same_disk";"matched_translated";"source_sequence_alignment";"exact_source_and_coordinates";"menu/menu/1215/4";"menu/menu/1215/4"
"menu";"menu";"menu";"menu";"1216";"1216";"5";"5";"［８］・［２］のキ−で選択、決定はリタ−ン・キ−です。";"［８］・［２］のキ－で選択、決定はリタ－ン・キ－です。";"Select with the [8] and [2] keys, and press Return to confirm.";"same_disk";"matched_translated";"source_sequence_alignment";"normalized_source_same_coordinates";"menu/menu/1216/5";"menu/menu/1216/5"
"menu";"menu";"menu";"menu";"1260";"1260";"6";"6";"ドライブ１に、ブランク・ディスクを入れて下さい。";"ドライブ１に、ブランク・ディスクを入れて下さい。";"Please insert a blank disk in Drive 1.";"same_disk";"matched_translated";"source_sequence_alignment";"exact_source_and_coordinates";"menu/menu/1260/6";"menu/menu/1260/6"
"menu";"menu";"menu";"menu";"1261";"1261";"7";"7";"ドライブ１のディスクが消されます。間違いありませんか？　（Ｙ／Ｎ）";"ドライブ１のディスクが消されます。間違いありませんか？　（Ｙ／Ｎ）";"All data in the disk in Drive 1 will be erased. Are you sure? (Y/N)";"same_disk";"matched_translated";"source_sequence_alignment";"exact_source_and_coordinates";"menu/menu/1261/7";"menu/menu/1261/7"
